OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
79,JD 1106,L 3928358,javensis,"West Java, Cibodas, forest fragmen in garden",1,1300,5,3,1,3,2,1,40,7,5,18,3,17,3.5,16,2.5,8,1.5,,,,,,,,,,,,1,0,,,,
80,Kosterman 23841,L 3928350,javensis,"West Java, Sukabumi Jampang Tengah, Lengkong,650 m alt.; ♀, infruct",1,650,7,3,0,2,1,0,30,0,5,16,1.5,16,2.5,13.5,2.5,17,2,2,1,2,,,,4.5,,,,,2,0,,,,1
81,JD 1033,L 3928351,javensis,"West Java, Sukabumi Jampang Tengah, Lengkong;  600 m alt, inflor.",1,600,5,3,1,3,2,1,40,2,5,15.5,2.5,16.5,2.5,12,2.5,6.5,1,0,3,2,,,,3.5,1,1,,,10,1,,,0,1
82,Junghun 43,L3928354,javensis,"West Java, Gn. Patuha",1,1500,5,3,2,0,2,0,39,1,6,17.5,2.5,16.5,3,18,2.5,7.5,2,0,2,0,1,9.5,6,6.0,,,3,0,,,,,,1
83,Moore,L 0617910,javensis,Sandakan,1,100,7,5,1,1,2,,91,0,7,26.5,4.5,25,4,21.5,3.5,16.5,3.5,,,,,,,,,,,,,,,,,1
84,SAN 100151,L 0617898,javensis,"Sabah, Sandakan, Ranau, Sagindai; 800 m alt",1,800,8,5,0,1,1,1,58,2,6,14.5,2.5,17,3.5,20,3.5,11,2.5,2,1,2,,,,,,,,,,,,,,1
85,De Vogel 1701,L 3933439,javensis,"South Kalimantan, Kab. Tanjung, Muara Uja, Mt. Sarempaka; 450 m alt",1,450,10,4,1,1,1,1,45,2,4,17,3.5,17,2.5,16,4,7.5,2.3,1.2,2,2,,,,,,,,,,,,,,1
86,JD 5673,L 0617882,javensis,"Sabah, Sandakan, Kinabalu; 2000 m alt., as JD 5672, but ♂",1,2000,8,5,2,1,0,1,40,4,5,15,3.5,16,3.5,14,4,11,2.5,2,1,1,,,,,,,,,,,,,,1
87,Fidilis Krispinus San 95821,,javensis,"Inflor, infruct",1,,7,5,1,1,1,1,43,0,,19,4,17,4,15,3.5,9,2,2,2.4,2,0,,7,5.0,1,0,,,,,,,,1
88,Bernard Lee S 52424,L 0617902,javensis,"Sarawak, Lawas, Ulu Trusan, Bukit Tebunan; 1000 m alt.; ♂",1,1000,10,,1,3,2,1,36,5,4,20,4,18,3,20,4,12,1.5,2,2,2,1,,7,7.0,,,1,0,,,,,,1
89,Masahiro Kato & Harry Wiriadinata B 4943,L 0617908,javensis,"East Kalimantan, Gunong Kongkat; 850-1150 m alt.",1,1000,10,6,0,,0,1,55,7,4,,,,,14,3.5,9,3,2,1.2,0,,,,,,,,,,,,,,1
90,Fidilis Krispinus SAN 114061,L 0617899,5: var congestiflorus,"Sabah, Sandakan, Pandewan, Mesopo River; ♀; Taxon 10",3,17,7,5,2,3,0,0,45,2,6,17,3.5,15,3.5,16,3,11,2.5,2,2.4,2.2,,,,,,,,,0,,0,,,1
91,Lambach 1328,L 3928335,javensis,"South Sumatra, Palembang, Kebau, Pematang Ulu; 150 m alt.",1,150,8,5,1,2,2,1,,4,6,19,3.5,16,4,17,4.5,10,2.5,2,,,,,,,,,,,,,,,,1
92,Haap 556,L 3928347,javensis,"Sumatera, Batoe Island; ♂",1,94,10,5,2,2,1,1,32,2,6,20,3.5,19,4,17,4.5,8,2.5,2,1,2,,,6,6.0,,,1,0,,,,,,1
93,Lorzing 8744,L 3928270,javensis,"Sumatera, Sibolangit, Karo Plateu, Kabanjahe;1150 m alt",1,1150,6,4,1,3,2,2,40,5,5,17,3.5,17,4.5,15,5,10.5,3,2,2,0,,,,5.0,1,1,,,,,,,,1
94,JD 3595,L 3928342,javensis,"Sumatera, bengkulu, Kepahiang km 20; 500 m alt.; infruct",1,500,8,5,1,1,1,1,40,0,7,19.5,3,20,4,19,3.5,9,2.5,0,2,0,2,7,5,8.0,1,1,,,9,2,,,,1
95,Harry Wiriadinata & Mashuri 669,L 3928267,javensis,"North Sumatera, Bohorok, Bkt lawang, Mt. Sinar Alas; 250 m alt.; ♂",1,250,10,7,2,3,1,1,42,0,7,14,3.5,13.5,3.5,15,3.5,5,1,2,2,2,,,,8.5,,,1,1,,,,,,1
96,WJ Lutjeharms WJL 4253,L 3933513,javensis,"Indonesia, Palembang, Enggano Isl.",1,180,8,4,1,3,1,1,56,0,,19,3.5,20,3,14,3.5,5.5,1.5,0,2,2,,,,9.0,1,0,,,,,,,,1
97,Lorzing 13718,L 3928334,javensis,"North Sumatera, Karo, Kabanjahe; 1150-1200 m alt; ♀",1,1200,8,4,1,1,2,1,34,2,5,15,3.5,14,4,14,3.5,10,2.5,1,2,0,0,,,5.0,1,0,,,,,,,,1
98,de Wilde& de Wilde-Duyfjes 12847,L 3928339 / sh no 340888,8: var. polyphyllus,"Aceh, Gn. Leuser, Ketambe, N.W. Kutatjane – Mt. Guhra;200-400 m alt.;♀",2,300,10,5,2,3,1,1,58,1,8,21,3.5,20.5,4,17.5,4,10,2.5,2,2.3,2,,,,9.0,1,0,,,,,,,,1
99,JD 3613,L 3928265,javensis,"Sumatera, bengkulu, Kepahiang, Pagar Gunung;700 m alt.;♀",1,700,8,5,2,0,1,1,40,2,7,16,4,17,4.5,15,4.5,7,2,2,4,2,2,,,9.0,0,1,,,,,,,,1
100,JD 2553,L 3928344,javensis,"Sumatera, Jambi, Sungai Air Hitam, Berbak; ♂; peat swamp forest",1,22,9,5,2,3,1,1,50,2,6,,,20,5,19.5,4.5,7.5,2,2,2,2,5,10,6,6.0,,,1,,,,,,,1
101,JD & D. Saerudin 1830,,javensis,"Sumatera Utara, Tj. Pura, Ulu Besitang; 50 m alt.; ♂",1,50,8,5,1,3,1,1,30,0,,17,3,15.5,3,14,3.5,7,1.5,2,2,0,,,,5.0,,,1,1,,,,,,1
102,JP Mogea 626,L3928343,javensis,"Sumatera, Aceh tenggara, Gn. Kemiri; 700 m alt.",1,700,10,5,2,1,2,0,85,7,10,18,3.5,20,3.5,22,3.5,20,3,,,,,,,,,,,,,,,,,1
103,W. Ave 229,L 3933509,javensis,"Malay Peninsula, Perak, Tapah, Kp. Sekam; 980 m alt.",1,980,5,3,1,2,1,1,33,3,4,15.5,3.5,,,15,3.5,7,2.5,1,2,1,4,11,13,4.0,,,1,0,,,,,,1
104,AFG Kerr 7186,L 3933500,javensis,"Thailand, Bachaw, Pattani; 500 m alt.",1,500,6,3,1,3,1,1,40,4,5,16,2.5,16,3,14,2.5,10,2,2,2,,,,,,,,,,,,,,,1
105,JD 3086,K 000934680,javensis,"West Java, Sukabumi, Ciayunan; 1000 m alt",1,1000,8,5,1,3,1,1,40,1,6,16,4,18,4.5,16.5,3,8,2,0,,,,,,,,,,,,,,,,1
106,Backhuizen vd brink 6273,L3928356,javensis,"Java, Batavia, Tjimanglit, Buitenzorg; 550 m alt",1,550,8,5,1,3,1,0,30,0,5,16,3.5,14.5,4,14.5,4.5,7,3,0,2,2,,,,5.5,,,1,0,,,,,,1
107,W. Ave 4,L3933429,javensis,"West Malaysia, Perak, Tapah, Sekam; 1000 m alt.",1,1000,,7,2,3,0,1,75,3,7,19,2.5,21,7,24,2.5,13,1.5,,,,,,,,,,,,,,,,,1
108,W.Ave L 18,L3928255,javensis,Malaya,1,,8,5,3,3,1,0,59,2,9,21,3.5,22,3.5,20.5,3.5,10,3,2,1,2,,,,8.0,,,,,1.2,1,,,,1
109,Junghun sn,L 3928353,javensis,Java,1,500,7,5,1,2,1,1,39,2,5,17.5,2.5,16.5,3.5,16,3,9.5,2.5,0,1,0,1,,7,6.5,1,0,,,,,,,,1
110,Sapiin W 2374,L 3928355,javensis,"Java, Preanger, Cibodas",1,1300,8,3,1,1,1,0,42,3,5,19,3,16.5,3.5,15.5,3.5,8,2,0,1,2,,,,7.0,,,,,,,,,,1
111,Mueller s.n.,L 3928287,javensis,"Borneo, Batang Sengaleng; inflor",1,50,8,5,3,0,1,0,33,,4,14,3,14.5,2.5,13,2.5,6,1.5,2,1,2,2,,,,,,,,,,,,,1
112,Korthals s.n.,L3928346,javensis,"Borneo, Batang Sengaleng ; juvenile",1,50,6,4,1,2,2,1,44,10,6,18.5,2.5,18.5,2.5,20,2.5,10.5,2,,,,,,,,,,,,,,,,,1
113,Heyne 7,L 3928115,javensis,Borneo; ♂,1,50,7,,2,3,1,1,42,2,,22.5,2.5,21,2.5,,,14,2,2,1,2,,,,,,,1,0,,,,,,1
114,Furtado 30829,L 3928348,javensis,"Sumatera, Palembang; ♂",1,500,8,5,0,2,0,0,37,0,0,14.5,3.5,14.5,4.5,17,3.5,7,2,2,2.4,2,,,,3.0,,,1,0,,,,,,1
115,Asin & Jarius SAN 121188,L 0618196,8: var. Polyphyllus,"Sabah, Ranau, Bambangan; Infruct.",2,600,7,5,1,3,2,0,31,0,10,14.5,2.5,14.5,2.5,16.5,2.5,12.5,2,2,4,2,1,,4,4.0,,,,,1,0,,,,1
116,Dewol & Mansur SAN 107646,L 0618192 / K 000112874,8: var. Polyphyllus,"Sandakan, Pinangah Tongod, CCL Area; ♂",2,250,8,5,0,0,2,1,47,7,12,21,2,20,1.5,24,2.5,15,1,2,0,2,4,13.5,7,8.0,,,1,0,,,,,,1
117,Fidilis Krispinus SAN 121886,L 0618195,8: var. Polyphyllus,"Sabah, Ulu Sungai Keramatoi, Keningau; infruct",2,350,6,,1,3,2,0,36,0,10,11,1,11.5,1.5,16,2.5,11,1.5,0,2,2,,,,,,,,,1,1,,,,1
118,J&MS Clemens 27320,L 0618198,8: var. Polyphyllus,"Borneo, Kinabalu; 1000 m alt",2,1000,7,5,1,2,2,0,59,7,12,14,2,13.5,2.5,16,2.5,11,1.5,,2.4,0,,,7,7.5,1,0,,,10,2,,,1,1
119,Dewol Sundaling SAN 97700,L 0618193,8: var polyphyllus,"Sandakan, Sg. Enodol Tongod, Kinabatangan; 700 m alt.; inflor.",2,700,10,5,1,2,2,0,69,2,12,13,2,13.5,2,15,2.5,10,1.5,2,4,2,,,,4.5,,,,,,,,,,1
120,JD 5584,L 0618191,8: var polyphyllus,"Borneo, Sabah, Sandakan, Paling2 Hills, Lagud, Tenom; 300 m alt",2,300,10,6,1,3,1,1,40,0,9,15,3,14,2,15,2.5,10,2,2,2.4,0,0,,,6.5,,,,,1,1,,,,1
121,Elmer 21331,L 0618190,javensis,"Sabah, Tawau ; Store undernamed C. acuminatus Becc.",1,200,6,4,1,1,0,2,35.5,0,4,20.5,3,20.5,3,17.5,3.5,11.5,3,,,,,,,,,,,,1,0,,,,1
122,Ambri&Arifin W 915,L 0617975,javensis,"Kalimantan Timur, Wanariset Rintis Wartono Kadri area; 50 m",1,50,10,5,2,2,0,2,40,1,5,21,4.5,17,3.5,17,4.5,9,2.5,,,,,,,,,,,,,,,,,1
123,JD 6265 C. elopurensis?,,2: C. elopurensis,"Sabah, Danum valley; alt 200 m",8,200,8,4,1,2,2,2,28,8.5,2,20,3.5,19,3.5,,,,,,,,,,,,,,,,0,0,,,,1
124,JD 4637,L 0617914,7: var hypertrichosus,"Sarawak, Semongoh FR, Kuching; 25 m alt.",9,25,6,4,0,,1,2,40,0,7,17.5,3.5,16,4,12.5,2.5,7,2,,,,,,,,,,,,,,,,,1
125,Blume BL 2137 / Syntype 1,,C. javensis,west java,1,900,15,5,2,1,0,1,45,0,5,21,5,17,5.5,18,5,8,2,,,,,,,,,,,,,,,,,1
126,Blume syntype 2,,C. javensis,west java,1,900,5,3,1,1,2,1,44,4,6,19,3.5,18.5,3.5,16,3.5,8,2,2,2.4,0,,,,,,,,,,,,,,1
127,isolectotype,,C. javensis,java,1,900,5,3,1,2,1,1,35,1,5,16,4,15,3,16,3.5,7,1,0,1,0,1,,5,6.0,,,1,1,,,,,,1
128,holotype / lectotype?,,C. javensis,java,1,900,11,9,2,2,0,1,42,1,6,18,3.5,18,3.5,17,5,9.5,2,2,1,2,,,7,9.0,1,1,,,,,,,,1
129,JD 5353,L 0617421,13: Calamus sp 1,"Sarawak, Gn Mulu NP, on ridgetop in lower montane forest; 1500 m",4,1500,20,10,3,0,2,0,123,70,9,20,2,17,3.5,22,3.5,22.5,2.5,2,1,1,,,,,,,,,,,,,,0
130,Chew & Corner RSNB 1892,L 0617415,11: C. tenompokensis,"Mt Kinabalu, Pinosuk Plateau; 5500ft",10,1800,13,7,4,0,0,0,100,40,9,,,27,5.5,37,5.5,32,5.5,0,2,0,2,,,,1,1,,,,,,,,1
131,"Chew & Corner, Stainton 1653",L 0617414 / K 000521391,11: C. tenompokensis,"Kinabalu, Ulu Langanani, Mamut river; 6°04'N, 116°40-44'E;  3800ft",10,1300,11,6,3,0,0,0,140,50,8,30,3.5,25,4.5,39,5,20,3,,1,0,,,,,0,0,,,,,,,,1
132,Furtado SFN 33102,L 3928280,javensis,"Malaysia, Pahang, Bentong-Raub boundary",1,96,6,3,2,2,1,2,50,,7,,,13,2.5,15,4.5,,,0,1,2,,,,,,,,,,,,,,1
133,Furtado SFN 30842,L3928281,javensis,"Java, Buitenzorg, cultivated",1,300,6,3,2,1,1,1,50,,6,18,2.5,15,2.5,15,2.5,16,2.5,0,,,,,,,,,,,,,,,,1
134,JD & Manokaran JD 4485,L 3928284,javensis,"Malaysia, Perak , Ipoh, Kledang Saiong FR; 250 m",1,250,6,3,1,2,1,1,40,3.5,4,24.5,3.5,22.5,4,20,5,17.5,4.5,,,,,,,,,,,,,,,,,1
135,Durand ? / herbarium javanicum PH Van Harreveld Sh no 900210/ L3928275,L 3928275,javensis,"Java Buitenzorg; ♀; 2 flower seen, 2 scar in infruct. vel 1, var firmus?",1,300,5,3,2,3,2,1,40,0,6,18,4.5,17.5,4,15,4.5,9,3,0,1,1,,,,,1,0,,,,1,,,,1
136,BA Krukoff 4181,L 3928277,javensis,"Masihi Forest Reserves, Asahan East coast; var intermedius?",1,500,6,3,1,1,2,1,50,0,5,20.5,4.5,20,4,17.5,5,7,3,,,,,,,,,,,,,,,,,1
137,Meijer SAN 20268,,javensis,"Sandakan, Ranau, Bukit Ampuan; 2500-3000 ft
C. spectabilis?",1,1000,6,4,4,0,0,0,35,0,6,18,4,17,4,21,5.5,8,3,,,,,,,,,,,,,,,,,1
138,Bernard Lee S 52573,L 0617419,11: C. tenompokensis,"Sarawak, Bkt Tebunan, Ulu Trusan. Lawas, 5th district; 800 m asl, inflor.",10,800,35,20,3,0,1,0,94,34,8,25,6,30,7,32,8,22,4,,2,2,2,22.5,19,13.0,,,0,1,,,,,,0
139,JD 5707,L 0617416,11: C. tenompokensis,"Sabah, Ranau, Kinabalu, Liwagu trail; 1700 m",10,1700,35,15,4,0,1,0,108,30,9,31,6,28,5,30,5,26,5,,,,,,,,,,,,,,,,,1
140,Madulid et al. 7172,L 3928434,14: Calamus sp 2,"Luzon, Pampanga, Mt. Arayat; 525 m alt.; Setae /long spinule on abaxial costae",11,525,9,6,2,0,0,2,55,29,6,,,12.5,2.5,14,2.5,10,2,,,,,,,,,,,,,,,,,1
141,"JD, Madulid, Reynoso JD 6176",K 000707845,javensis,"The Philippines, Palawan, St. Paul's Bay NP",1,15,7,4,1,0,1,2,45,0,8,19,2.5,18,2.5,13,2,11,2,0,1,2,,,,5.5,1,1,,,,,,,,1
142,Madulid F1008,L 3928436,javensis,"Palawan, St.Paul’s Bay NP. Lion cave; 15 m",1,15,6,4,1,4,2,2,30,2,7,19,2,20,3,18,2,10,1.5,,,,,,,,,,,,,,,,,1
143,Chew & Corner RSNB 7025,K 000113411,12: var nov,"Sabah Kinabalu, mesilau river, alt. 5000 ft",5,1650,7,4,1,0,3,2,55,3.5,5,10,3,12,2.5,18,2,10,1.5,0,,2,4,11,12,8.5,,,1,1,,,,,,1
144,Chew et al. 168,K 000113396,12: var nov,"Sabah, Kinabalu, eastern shoulder, 6°05' N, 116° 36-40' E; 6500 ft",5,2100,7,4,2,3,3,1,50,7,5,17.5,3,15.5,3,19.5,3,13,2,0,1,2,3,9.5,6,3.5,1,1,,,,,,,,1
145,Diwol et al. SAN 144475,K 000209517,12: var nov,"Sabah, Sipitang, Ulu Meligan; 5900 ft",5,2000,10,5,2,0,3,2,49,17.5,4,15.5,2.5,15.5,2.5,16,3,14.5,2.5,2,1,2,4,20,9,6.0,,,1,1,,,,,,
146,Kember Mejia 2019,K 000934692,12: var nov,"Indonesia, Sumatera, Payakumbuh, Mt. Sago; alt 1300 m",5,1300,15,5,2,3,3,1,39,0,6,17,3.5,16,3.5,16.5,4,8,2,2,1,2,5,18,10,8.0,,,1,1,,,,,,1
147,Yildiz Aumeeruddy YA 308,K 000934680,12: var nov,"Indonesia, Central Sumatera, Kerinci; on slope, alt. 1500 m",5,1500,6,3,2,2,3,0,35.5,0,6,14,2,14,3,12.5,2.5,6.5,1.5,2,1,2,4,17,5,6.0,1,1,,,10,2,,,1,1
148,Saw et al. SAN 146090,K 000462801,8: var polyphyllus,"Sabah, Ranau, Ulu Tungud FR, Gunung Monkobo Expedition, N 5°49'51'', E 117°00'07'';  alt. 472 m",2,472,8,5,2,2,2,1,20,1.5,8,21,1.5,20,2,24,2,14.5,1.5,0,1,0,,,,6.0,,,1,1,,,,,,1
149,Maikin & Joseph SAN 125852,K 0001128689,8: var polyphyllus,"Sabah, TambunanTikolod, road side",2,750,8,5,0,,2,1,29,0,9,12,2,13,2,12.5,2,9.5,1.5,0,,2,4,10,8,5.0,,,0,1,,,,,,1
150,Sumbing Jimpin SAN 139385,K000667401,8: var polyphyllus,"Sabah, Pensiangan, Pisgon, hillside",2,750,7,5,1,0,2,1,45,0,12,17.5,1,18.5,1.5,13.5,0.5,11.5,0.5,1,1,2,5,12,9,4.5,0,1,,,10,2,,,1,1
151,Clemente 5982,K 000112880,8: var polyphyllus,"Sabah, Kg. Bandukan, side of ridge",2,750,7,5,0,,2,1,45,2.5,10,12,2.5,12,3,15,3,13,2.5,,2,3,2,11,9,4.5,1,1,,,,,,,,1
152,Jacob Andersen & Rasit bin Abdilah 224,K 000114147 / L 0618008,2: C. elopurensis,"Sabah, Kinabatangan, Tabin wildlife reserve; 5° 20'N , 118° 40' E;  alt 40 m",8,40,8,5,1,3,2,2,48,35,3,35,5.5,33,6.5,23,5.5,,,,,,,,,,,,,,,,,,,1
153,John Dransfield JD 5774,K 000113232,2: C. elopurensis,"Sabah, Sandakan, virgin jungle reserves, mile 42 Segaliud Lokan; alt 50 m",8,50,8,5,0,3,2,2,40,25,4,35,4.5,32,6,23,5.5,,,0,1,2,8,6,8,11.0,,,1,1,,,,,,1
154,Sani Sambuling 130,K 000113230,2: C. elopurensis,"Sabah Ranau, kampung Poring, berhampiran mamut Copper Mine.",8,480,6,3,0,3,1,2,38.5,15,2,21.5,4.5,18.5,5,,,,,,,,,,,,,,,,,,,,,1
155,Sani Sambuling 115,K000113258,4: C. impar,"Sabah, Kampung Poring",6,480,5,3,0,0,1,1,21.5,3.5,2,15.5,2.5,10.5,2.5,,,,,2,1,2,3,6.5,3,4.5,,,1,1,,,,,,1
156,Lorence Lugas 1626,K000113270,4: C. impar,"Sabah, Kinabalu, kampung Melangkap Tomis",6,700,5,3,0,1,2,1,35.5,8.5,2,22.5,2,13.5,1.5,,,,,2,1,2,,,,,1,1,,,,,,,,1
157,Lorence Lugas 14,K000707461,4: C. impar,"Sabah, Kinabalu",6,1000,4,3,0,0,2,1,35.5,12,2,20.5,2.5,18,2.5,,,,,0,1,2,,,,7.5,1,1,,,10,2,,,,1
