OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
158,N.M. Watanabe NMW 41,K000209395,4: C. impar,"Indonesia, Kalimantan, Berau, inhutani 1; 2 22'N, 117 12' E; alt 30 m",6,30,5,3,1,2,1,1,12,4,2,22.5,4.5,16,4.5,13.5,3.5,,,,,,,,,,,,,,,,,,,1
159,JD 5868,L 0618039,6: var corrugatus,"Sarawak, Mt. Mattang, alt. 400 m",12,400,6,3,0,5,0,1,39,0,7,12.5,2.5,13.5,2.5,13.5,2.5,7.5,1.5,,,,,,,,,,,,,,,,,1
160,Mogea 3615,L 0618040,6: var corrugatus,"Indonesia, Central Kalimantan, Bukit Raya; 0°30'N, 112° 50'E ; 200 m alt.",12,200,5,3,0,5,2,2,27,9,3,13.5,2.5,12.5,3.5,,,14,3.5,,,,,,,,,,,,,,,,,1
161,JD 6080,L 0618038,6: var corrugatus,"Sarawak, Serian, Sabal Tapang FR, mile 70, kerangas forest, gentle slope",12,650,5,3,0,5,0,1,30.5,0,5,12.5,1.5,16,2.5,11,2.5,6.5,1,,,,,,,,,,,,,,,,,1
162,JD 4930,L 0618037,6: var corrugatus,"Sarawak, Semongoh FR near Kuching, 1st division; lowland MDF at alt. 20 m a.s.l",12,20,5,3,0,5,0,1,26,0,4,9.5,2.5,11.5,3,10,3,7.5,2,,,,,,,,,,,,,,,,,1
163,JD 1428,K000113194,6: var corrugatus,"Sarawak, Lubuk Antu, river Delok, on slope in secondary forest near Nanga Sumpa; 01°20'N, 112° 10'E; alt 300 m",12,300,5,2,0,5,0,1,35,0,5,10,2,14,2,11.5,2.5,5,0.5,,,,,,,,,,,,,,,,,1
164,P.S. Ashton 19775,K 000113196,6: var corrugatus,"Sarawak, Ulu Temalad, Hose Mountain",12,800,5,3,0,5,0,2,27,,10,6,1.5,6.5,1.5,8.5,2,4.5,1,0,1,2,3,3.5,4,4.5,0,1,,,8,1,,0,,1
165,Dransfield et al. JD 5554,K 0001133850,11: C. tenompokensis,"Sabah, Ranau, Mt. Kinabalu, Pinosok plateau near Mesilau river; alt 1500 m; steepslope, lower montane forest",10,1500,20,8,3,0,0,2,100,20,8,28.5,4.5,27.5,4,33,4.5,30,4,0,,0,5,4.5,11,4.5,,,0,1,,,,,,1
166,Chew & Corner RSNB 4056,K 000521385,11: C. tenompokensis,"Sabah, Mt. Kinabalu, Mesilau river; alt 5000 ft",10,1650,22,8,4,0,0,1,150,10.5,7,32,4,31,4,35,5,47,4.5,1,,1,4,12.9,6,5.5,,,0,1,,,,,,1
167,JD 4713,L 0617983,3: C. flabellatus,"Borneo, Sarawak",7,100,9,5,0,2,1,1,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
168,Julaihi et al. 74348,K 000707407,3: C. flabellatus,"Borneo, Sarawak, ulu sungai nelinau, Miri, Gunung Mulu NP, Bukit Pantu, Marudi; alt 200 m",7,200,10,4,2,2,0,2,23.5,1,4,15.5,4.5,11,4,10.5,3.5,6,2,,2,2,5,,14,3.0,,,1,1,,,,,,1
169,Dewol Sundaling 105576,K 000113077,5: var congestiflorus,"Borneo, Sabah, Sandakan, Tawau",3,20,6,4,2,3,1,1,22.5,0,5,12.5,2.5,13,3.5,13.5,2.5,5,1.5,2,3,2,2,3.5,10,2.5,1,1,,,,0,,,,1
170,Yii Puan Ching S 44664,K 000521389,15: Calamus sp 3,"Borneo, Sarawak, Gunung Murud",13,2000,0,0,2,0,0,0,85,70,2,32.5,5.5,30.5,5.5,,,25.5,5.5,3,1,3,2,12,4,2.0,1,,,,13,2,,,,0
171,Diwol & John et al. SAN 144483,K 000209515,15: Calamus sp 3,"Borneo, Sabah, Sipitang Ulu Meligan, road to Taman Samaki; alt 5900 ft; lower montane forest",13,2000,0,0,2,0,0,0,84,50,2,25,4,23.5,4,,,23,4,0,1,3,2,5,5,2.0,2,1,,,13,2,,,,0
172,JD 6506,K 000784730,9: C. kemamanensis/ C. javensis,"Peninsular Malaysia, Kuala Trengganu, Ulu Nerus Forest Reserves; 350 m alt.; ocrea reddish; sterile",1,350,8,3,0,1,1,1,31.5,5.5,1,27,4.5,,,,,,,,,,,,,,,,,,,,,,,1
173,Puasa 6712,K 000112883,1: C. amplijugus,"Sabah, Kabili Sepiklok FR, top of hill; 60 m a.s.l",14,60,20,8,3,0,1,0,70,0,8,20,6.5,22.5,8,24,8.5,,,2,2,2,2,38,9,20.0,1,1,,,,,,,,1
174,Perumal & Diwol 134344,K 000667397,1: C. amplijugus,"North Borneo, lahad datu, Bukit Silam, alt. 950 ft",144,350,8,4,3,0,1,1,49,0,11,12,3.5,15,4,19.5,4.5,5.5,2,0,1,1,1,24,8,17.0,1,1,,,9,2,,,,1
175,JD 6548,K 000112912,1: C. amplijugus,"North Borneo, Brunei, Belait district, Labi, Mendaram waterfall, 4°20'N, 114°27'E; 20 m a.s.l",14,20,10,5,2,0,0,1,50,0,9,18,3.5,15,3.5,16,4.5,9.5,2.5,2,2,2,,,8,7.0,1,1,,,9,0,,,,1
176,WKM 792,K 000113602,11: C. tenompokensis,"Brunei, Temburong, north ridge of Bukit Retak.",10,1500,10,4,2,0,2,0,100,45,6,18,2.5,19.5,3,18,3,18,2,0,1,3,2,5,2,3.0,2,1,,,,0,,,,0
177,Lorence Lugas 1600,K 000112925,1: C. amplijugus,"Sabah, Kampung Melangkap Tomis, 3 km from Melangkap Tomis, Dengiranuk",14,12,10,6,2,0,0,1,60,2,10,17,4.5,21,5.5,24,5.5,,,2,1,2,2,15,8,12.0,1,1,,,,,,,,1
178,Dius Tadong 320,K 000112903,1: C. amplijugus,"Sabah, Kampung Takutan",14,570,20,6,3,0,0,0,50,0,9,15.5,5,15.5,4,17.5,6,6.5,3,2,1,,,,,15.0,1,1,,,7,1,,,,1
179,atria MAT 018,,javensis,TNGHS,1,1200,6,4,2,3,1,1,42,2.5,6,19.5,3.5,18.5,3.5,13.5,3,7.5,2.5,0,1,2,5,10,7,5.0,,,1,1,,,,,,1
180,atria MAT 023,,javensis,TNGHS,1,1200,5,3,1,0,2,0,68,37,5,18.5,3,17,3.5,21.5,3.5,12.5,2.5,,,,,,,,,,,,,,,,,1
181,atria MAT 024,,javensis,TNGHS,1,1200,8,6,2,1,1,1,28.5,0,6,13,3,13.5,3,13.5,3,8.5,2.5,2,1,2,5,14,12,7.0,,,1,1,,,,,,1
182,atria MAT 010,,javensis,TNGHS,1,1200,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
183,atria MAT 001,,javensis,TNGHS,1,1200,6,4,2,3,1,1,42,2.5,5,19.5,3.5,18.5,3.5,13.5,3,7.5,2.5,0,1,2,5,10,7,5.0,,,1,1,,,,,,1
184,atria MAT 021,,javensis,TNGHS,1,1200,6,4,2,3,1,1,36,0,6,13.5,3.5,13.5,4,12.5,3,7,2.5,0,,2,4,10.5,10,5.5,,,1,1,,,,,,1
185,atria MAT 002,,javensis,TNGHS,1,1200,5,3,1,1,1,1,37.5,2,6,18.5,2.5,16.5,3.5,13.5,3,9.5,2,,,,,,,,,,,,,,,,,1
186,atria MAT 008,,javensis,TNGHS,1,1200,6,4,2,3,1,1,38.5,0,6,16,3,15.5,3.5,14.5,3.5,8.5,2,,,,,,,,,,,,,,,,,1
187,atria MAT 004,,javensis,TNGHS,1,1200,5,3,1,1,1,1,68,29,5,18.5,3.5,17,4,13.5,3.5,9.5,2,,,,,,,,,,,,,,,,,1
188,atria MAT 013,,javensis,TNGHS,1,1200,5,3,1,2,1,1,37,3,7,12,2.5,12.5,3,12.5,2.5,6,2,,,,,,,,,,,,,,,,,1
189,atria MAT 022,,javensis,TNGHS,1,1200,6,3,0,1,1,1,42,2.5,5,18.5,2.5,16,3,13,3,5,1.5,,,,,,,,,,,,,,,,,1
190,atria MAT 011,,javensis,TNGHS,1,1200,5,3,1,1,2,1,40,3,5,17.5,3.5,17.5,2.5,12.5,2.5,7.5,2,,,,,,,,,,,,,,,,,1
191,Rajasegar & Adrian Loo 19,K 000667488,javensis,"Singapore, Nee Soon swamp forest",1,20,10,6,2,3,2,1,55,0,7,21,3.5,21,4,21,4,8,2,2,1,2,4,12,10,9.0,1,1,,,,,,,,1
192,"Hj. Othman, Rantai & Jugah S 56410",K 000114271,javensis,"Sarawak,  Sg. Entejum, Ulu mengiong, Balleh, Kapit",1,43,8,5,2,3,1,1,33,2,6,12,3.5,11,2.5,11.5,3.5,8,2,2,1,2,5,,8,4.5,,,,,,,,,,1
193,K.M. Wong WKM 745,K 000113402,javensis,"Brunei, Temburong, North ridge of Bukit Retak.",1,1500,5,3,1,2,1,2,30,0,6,8.5,2,8,1.5,8.5,2,8,1.5,2,1,2,4,16.5,11,4.5,,,1,1,,,,,,1
194,Aban Sibot SAN 54826,K 000113412,javensis,"Sabah, Lahad Datu, Pulau Sakar",1,58,20,10,3,0,2,2,65,0,7,16,4.5,20.5,5,21,5,8,3,0,1,2,3,9,6,7.5,1,1,,,10,2,,,,1
195,Kerr 7785,K 000785897,javensis,"Thailand, Kao Kalakari, Pattani",1,11,6,2,2,0,1,1,53,1.5,6,16.5,2.5,18,3.5,14.5,3.5,9,2,2,1,2,2,6,3,7.0,0,1,,,,,,,,1
196,"Barford, Niyomdham, Ueachirakan, Bogh Pedersen, Burholt 45253",K 0007858900,javensis,"Thailand, Province Ranong, Laemson NP, Ban Hin substation",1,16,3,2,2,2,1,1,26,4,4,13.5,2.5,13.5,2.5,10.5,3,6.5,15,2,1,2,3,7,7,4.5,0,1,,,,,,,,1
197,MJE Coode 7022,K 000113452,javensis,"Brunei, Tutong, Rambai,  Bukit Bahak riverside, alt 210 m",1,210,7,4,0,1,1,2,50,4.5,7,18.5,2.5,19,3.5,15.5,3,10,2,,,,,,5,5.5,,,1,1,,,,,,1
198,Balajadia 3755,K 000113522,,"Sabah, dumpinit",1,50,10,5,2,1,1,1,55,0,8,17.5,4,17.5,4.5,22,4.5,8,2,,3,2,6,17.5,12,10.5,,,1,2,,,,,,1
199,K.M. Wong WKM 1386,K 000113403,,"Brunei, Temburong, Bukit Belalong, south ridge",1,850,4,2,1,2,1,0,26.5,2.5,4,10.5,2,11.5,2.5,10.5,3,8,2,0,1,2,4,5,6,4.5,1,1,,,,,,,,1
200,Vongkaluang 210,K 000785887,javensis,"Thailand, Trang",1,33,5,3,1,1,1,1,40,3.5,7,14.5,2.5,13,2,10,2,7,2,,2,2,5,13,8,7.0,,,1,1,,,,,,1
201,Helen Sanderson Ridley s.n. 2,K 000113526,,"Sarawak, Mt. Matang",1,271,8,4,1,0,1,1,40,0,7,15,2.5,15,2.5,14.5,3,6,1.5,0,2,2,2,10,8,5.5,,,1,1,,,,,,1
202,Mc Donald & Afriastini 3443,K 000934684,javensis,"Java, West java, Ujung Kulon, Cijaga watershed, Cijaga Besar Forest, 5 km SE Taman Jaya; 6°12'S, 105°30' N; alt 100 m",1,100,5,3,1,1,1,0,27.5,0.5,5,15,2.5,13.5,2.5,12.5,2.5,8,2,0,1,2,2,4,4,4.0,1,1,,,10,2,,,,1
203,Jacob Andersen & Aninguh Surat 169,K 000114100,var congestiflorus?,"Sabah, Keningau, Ulu Senegang, Crocker range NP; N 5°20' , E 116°1'; alt 768 m",3,768,8,5,1,2,1,1,62,3,5,24.5,4.5,23.5,4.5,26.5,5,18.5,3.5,0,1,2,2,10,5,4.0,1,1,,,,,,,,1
204,W. Ave 216,L 3928252,javensis,"Kp. Sekam, Tapah, Perak, West Malaysia (04°020’N, 101°020’E); 600 m alt",1,600,10,6,3,3,1,1,48,0,9,17.5,4,19.5,4,17,4,7.5,2.5,,,,,,,,,,,,,,,,,1
205,Atria MAT 062,,C. flabellatus,"Andulau FR -- coordinate: N 04.39.299',  E 114.31.305' ;  alt. 80 m a.s.l",1,80,4,2,1,3,1,2,61.5,2,40,3.5,,,20,2.5,10.5,0.5,,,,,,,,,,,,,,,,,,1
206,Atria MAT 065,,C. javensis,"Kuala Belalong, Ashton Trail",1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
207,Atria MAT 85,,C. flabellatus,"Andulau FR -- N 04.39.424',             E 114.31.117' ;  alt. 77 m a.s.l",7,77,6,3,1,2,2,2,42,2.5,3,30,5,,,12.5,2.5,7.5,1,,,,,,,,,,,,,,,,,1
208,Atria MAT 090,,C. flabellatus,"Sg Liang, Brunei",7,12,5,3,1,3,1,1,48,2.5,3,23,5.5,,,14.5,3.5,7.5,1.5,,,,,,,,,,,,,,,,,1
209,Atria MAT 092,,C. javensis,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 130 m a.s.l",1,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
210,Atria MAT 093,,C. javensis javensis,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 130 m a.s.l",1,130,6,4,1,2,1,1,51,0,8,18,3,16,4,15,4.5,9,3,,,,,,,,,,,,,,,,,1
211,Atria MAT 094,,C. flabellatus,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 130 m a.s.l",7,130,6,4,1,3,2,1,60,2,3,39,5,,,22,4,15.5,2,,,,,,,,,,,,,,,,,1
212,Atria MAT 095,,C. javensis,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 200 m a.s.l",1,200,8,4,1,3,2,1,68,2.5,10,9,3.5,18,4,19,4,14,2,,,,,,,,,,,,,,,,,1
213,Atria MAT 096,,C. flabellatus,"Ashton trail -- N 04 32.695', E 115 09.370'; alt. 190 m a.s.l",7,190,10,5,0,0,1,1,56,0,5,32,6.5,18,4,11,2,9,2,1,1,2,3,13,8,2.5,1,1,,,6,1,,,,1
214,Atria MAT 097,,C. javensis,Sg. Belalong riverside --,1,127,8,5,1,3,1,1,60,0,8,16.5,3.5,17,4,20,4,8.5,2,,,,,,,,,,,,,,,,,1
215,Atria MAT 100B,,C. javensis,"Kuala Belalong, Ashton Trail",1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
216,Atria MAT 100C,,C. javensis,"Kuala Belalong, Ashton Trail",1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
217,Atria MAT 102,,C. flabellatus,"Kuala Belalong -- Canopy Trail -- cordinates: N 04 33. 151' , E 115 09.430' ; alt. 71 m a.s.l",7,71,8,5,1,2,1,1,56,1,4,33.5,7.5,,,23,4.5,16,3,,,,,,,,,,,,,,,,,1
218,Atria MAT 103A,,var. Polyphyllus (2 sheet),"clustering rattan. Seedling plant erect with up to 12 pairs of leaflets, mature plants climbing with 6 pairs.",2,100,10,7,1,2,0,0,95,27,10,20,3,17,3.5,18,3.5,15.5,2.5,,,,,,,,,,,,,,,,,1
219,Atria MAT 106,,C. flabellatus,"Kuala Belalong -- Canopy trail -- N 04 33. 108' , E 115 09.609'; infructescence; sterile",7,71,8,4,1,2,1,1,41,1.5,2,27,6.5,,,,,,12.5,3,,,,,,,,,,,,,,,,1
220,Atria MAT 107A,,C. flabellatus,"Teraja -- N 04 24.035' , E 114 20.412' ,♀ plant, 7 partial inflorescence, each with 8 rachilla",7,50,10,5,1,2,1,2,23,2,4,13.5,4.5,,,9,3.5,7.5,7.5,2,1,2,5,40,16,3.0,1,1,,,,,,,,1
221,Atria MAT 108,,C. javensis,"Mendaram -- N 04 20.495' , E 114 26. 847'; alt. 21 m a.s.l.",1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222,Atria MAT 108B,,C. javensis,"Mendaram -- N 04 20.495' , E 114 26. 847'; alt. 21 m a.s.l.; infructescence",1,21,10,6,2,2,1,1,10,0,8,4,2,3.5,0.8,4.5,1.5,2,1.5,0,4,2,5,,,3.0,1,1,,,,,,,,1
223,Atria MAT 108C,,C. javensis,"Mendaram -- N 04 20.495' , E 114 26. 847'; alt. 21 m a.s.l.",1,21,8,5,1,3,2,2,58,0,9,18,4,16,4,17,4.5,8,1.5,1,4,2,7,14,7,6.5,1,1,,,10,0,8,6,1,1
224,Atria MAT 109,,C. amplijugus? (2 sheet),"Teraja -- N 04 17.254' , E 114 25.808' , male plant, 8 partial inflorescence, inflorescence ca 2,5 m long.",14,50,10,7,2,1,2,1,55,0,8,20,4.5,21,4.5,20,4.5,7.5,2.5,2,1,2,6,11,8,8.0,1,1,,,10,0,70,40,1,1
225,Atria MAT 109C,,C. amplijugus?,"Teraja -- N 04 17.254' , E 114 25.808' , male plant, 8 partial inflorescence, inflorescence ca 2,5 m long.",14,50,10,6,2,3,2,1,58,0,10,16,3.5,15.5,4.5,15,4.5,16.5,2.5,0,2,2,10,16,13,5.0,,,1,1,,,,,,1
226,Atria MAT 110,,C. javensis,"Mendaram -- N 04 19.113', E 114 25.808'; alt. 34 m a.s.l",1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
